Temp,T/Tc,c,chi
0.00226919,0.001,0,0
0.0779087,0.0343333,0,0
0.153548,0.0676667,0,0
0.229188,0.101,0,0
0.304827,0.134333,0,0
0.380467,0.167667,0,0
0.456106,0.201,0,0
0.531746,0.234333,0,0
0.607385,0.267667,0,0
0.683025,0.301,0,0
0.758664,0.334333,0,0
0.834304,0.367667,0.0164378,0.000857133
0.909943,0.401,0.0157502,0.000895738
0.985583,0.434333,0.0221409,0.00142383
1.06122,0.467667,0.0328551,0.00250159
1.13686,0.501,0.0409498,0.00298954
1.2125,0.534333,0.047878,0.0039826
1.28814,0.567667,0.0716103,0.00659463
1.36378,0.601,0.0980074,0.00964566
1.43942,0.634333,0.130864,0.0155625
1.51506,0.667667,0.190656,0.0235975
1.5907,0.701,0.233225,0.0426692
1.66634,0.734333,0.354434,0.073725
1.74198,0.767667,0.444281,0.10678
1.81762,0.801,0.266514,0.0793348
1.89326,0.834333,0.453496,0.169698
1.9689,0.867667,0.954256,0.356948
2.04454,0.901,0.337889,0.0966831
2.12018,0.934333,0.52763,1.05747
2.19581,0.967667,1.47043,1.15802
2.27145,1.001,0.892369,1.55096
