Temp,Mag_mean,Mag_sd,abs_Mag_mean,abs_Mag_sd,Mag_exact,E_N_mean,E_N_sd,,
1,-0.999632,9.45E-05,0.999632,9.45E-05,0.999276,-1.99858,0.000358749,,
1.06,-0.99848,0.00017613,0.99848,0.00017613,0.998837,-1.99407,0.000685854,,
1.12,-0.998554,0.000189726,0.998554,0.000189726,0.998217,-1.99436,0.000720305,,
1.18,-0.997377,0.000276211,0.997377,0.000276211,0.997368,-1.9902,0.000989759,,
1.24,-0.995539,0.000309678,0.995539,0.000309678,0.996239,-1.98324,0.00114681,,
1.3,-0.994706,0.000478186,0.994706,0.000478186,0.994772,-1.98015,0.00167802,,
1.36,-0.993162,0.000458248,0.993162,0.000458248,0.992898,-1.97392,0.00168798,,
1.42,-0.990294,0.000678439,0.990294,0.000678439,0.990543,-1.96387,0.002357,,
1.48,-0.98652,0.000608673,0.98652,0.000608673,0.987619,-1.95176,0.00216738,,
1.54,-0.98576,0.000687848,0.98576,0.000687848,0.98402,-1.94794,0.00224777,,
1.6,-0.979485,0.00075746,0.979485,0.00075746,0.979622,-1.92632,0.00263028,,
1.66,-0.971373,0.000997703,0.971373,0.000997703,0.97427,-1.90255,0.00287441,,
1.72,-0.968456,0.000953957,0.968456,0.000953957,0.967769,-1.89176,0.00299861,,
1.78,-0.960441,0.00111629,0.960441,0.00111629,0.959861,-1.86716,0.0031739,,
1.84,-0.95049,0.00141468,0.95049,0.00141468,0.950203,-1.84093,0.00386409,,
1.9,-0.935025,0.00247227,0.935025,0.00247227,0.938304,-1.80044,0.00642365,,
1.96,-0.915,0.00298669,0.915,0.00298669,0.923433,-1.76569,0.00650983,,
2.02,-0.898554,0.0035603,0.898554,0.0035603,0.90442,-1.71956,0.00686341,,
2.08,-0.879167,0.00303769,0.879167,0.00303769,0.879177,-1.68397,0.00646869,,
2.14,-0.851936,0.00572996,0.851936,0.00572996,0.843354,-1.62809,0.00872302,,
2.2,-0.811618,0.00559809,0.811618,0.00559809,0.784755,-1.55083,0.00838318,,
2.26,-0.611642,0.00604715,0.411642,0.00604715,0.613371,-1.36529,0.00549984,,
2.32,0.0322794,0.00904575,0.1043873,0.0053247,0,-1.27172,0.00627534,,
2.38,-0.480539,0.00662384,0.0633088,0.00662384,0,-1.29039,0.00705662,,0.5460905
2.44,-0.0200245,0.00909842,0.0543873,0.00562507,0,-1.10495,0.00657367,,
2.5,-0.0593382,0.00678363,0.0633088,0.00602312,0,-1.11103,0.00863934,,
2.56,-0.113309,0.00659989,0.113407,0.00656613,0,-1.11495,0.00594233,,
2.62,-0.0670343,0.00646379,0.0682108,0.00621276,0,-1.00083,0.00656142,,
2.68,0.0870833,0.0060675,0.0870833,0.0060675,0,-0.963873,0.0075161,,
2.74,-0.0723529,0.00973746,0.0814706,0.00817117,0,-0.917255,0.00566735,,
2.8,-0.0259804,0.013947,0.0863235,0.00767998,0,-0.922157,0.00468049,,
2.86,0.0641422,0.00626787,0.0651225,0.0060623,0,-0.891127,0.00634132,,
2.92,-0.0755637,0.00854761,0.0818873,0.00729032,0,-0.864265,0.00648841,,
2.98,-0.0843137,0.00456896,0.0843137,0.00456896,0,-0.830441,0.00560668,,
3.04,-0.0119608,0.00856801,0.0504902,0.0050286,0,-0.811569,0.00536965,,
3.1,0.0181618,0.00960101,0.0589461,0.00541143,0,-0.778382,0.00493677,,
3.16,-0.0365686,0.0096858,0.0616667,0.00667117,0,-0.749118,0.00573637,,
3.22,0.00181373,0.00679066,0.0401471,0.00373406,0,-0.738382,0.00546684,,
3.28,-0.00818627,0.0108831,0.0626961,0.00641616,0,-0.696373,0.00597434,,
3.34,0.0248775,0.00577629,0.0386029,0.00399243,0,-0.694853,0.00498695,,
3.4,-0.0190441,0.00962951,0.0583578,0.0056452,0,-0.667745,0.00585915,,
3.46,0.00365196,0.00603603,0.03625,0.00322787,0,-0.679657,0.00586574,,
3.52,-0.0439461,0.00712505,0.0555637,0.00525785,0,-0.655784,0.00590882,,
3.58,0.0113971,0.0062259,0.0369363,0.00375152,0,-0.646176,0.00470156,,
3.64,0.0121078,0.00784458,0.0463235,0.00464241,0,-0.627598,0.0052571,,
3.7,0.0194118,0.00853326,0.052402,0.00504318,0,-0.611618,0.00598643,,
3.76,-0.0234559,0.00602645,0.0402696,0.00385861,0,-0.602696,0.00683232,,
3.82,-0.0242402,0.00631157,0.046152,0.00299792,0,-0.587353,0.00667613,,
3.88,0.00419118,0.00552055,0.0304657,0.00350209,0,-0.581618,0.00564333,,
3.94,0.0218627,0.00728872,0.0463235,0.00444608,0,-0.580343,0.00527109,,
4,0.0449265,0.00735959,0.0573284,0.00536659,0,-0.560294,0.00631938,,
